iter	RMSE
0	23.75214192
1	22.41870093
2	21.18194163
3	20.03214473
4	19.03828511
5	18.02739129
6	17.12269749
7	16.29540183
8	15.57604936
9	14.91483614
10	14.30056338
11	13.68797666
12	13.12568478
13	12.54920811
14	12.047402
15	11.58538329
16	11.16637681
17	10.78961381
18	10.40069231
19	10.1063671
20	9.805907836
21	9.452722085
22	9.16051284
23	8.854645015
24	8.605678732
25	8.362600306
26	8.139862596
27	7.89924996
28	7.678897314
29	7.476501418
30	7.28496489
31	7.093562279
32	6.915060533
33	6.764624003
34	6.629456425
35	6.437272821
36	6.319716708
37	6.186416624
38	6.068239094
39	5.906736189
40	5.814285877
41	5.724854361
42	5.606249276
43	5.527048785
44	5.428770634
45	5.347249092
46	5.290921792
47	5.211009426
48	5.139344789
49	5.081960109
50	5.011383554
51	4.945802486
52	4.870833092
53	4.827734287
54	4.791270117
55	4.733456811
56	4.681002103
57	4.645371128
58	4.603469035
59	4.560463735
60	4.513463868
61	4.474543218
62	4.439710185
63	4.389332391
64	4.365257476
65	4.334437471
66	4.297811526
67	4.270950462
68	4.23921513
69	4.190592947
70	4.16011171
71	4.139105013
72	4.122212334
73	4.08747895
74	4.058859533
75	4.008344319
76	3.982016757
77	3.956177895
78	3.927141107
79	3.896021178
80	3.859055556
81	3.840636691
82	3.819934073
83	3.787582649
84	3.771762204
85	3.755329556
86	3.743014103
87	3.730104424
88	3.713490174
89	3.681776399
90	3.669938613
91	3.642193009
92	3.61625032
93	3.597901594
94	3.582321032
95	3.568435289
96	3.55492701
97	3.540370614
98	3.525375168
99	3.503501204
100	3.488926715
101	3.465407082
102	3.437865226
103	3.425381723
104	3.410757117
105	3.396792952
106	3.378136655
107	3.357254807
108	3.34144279
109	3.324632049
110	3.316724278
111	3.292733688
112	3.278001892
113	3.262075576
114	3.242793619
115	3.223743059
116	3.207155837
117	3.194993723
118	3.176894659
119	3.157683665
120	3.130046842
121	3.111299293
122	3.096112268
123	3.084117408
124	3.073220863
125	3.062244407
126	3.045890767
127	3.027163414
128	3.016636476
129	3.001527429
130	2.994731304
131	2.984916876
132	2.976608266
133	2.959191551
134	2.938019135
135	2.927684505
136	2.916878158
137	2.910175721
138	2.89972285
139	2.885165728
140	2.873930764
141	2.85942983
142	2.853920702
143	2.84223462
144	2.82898691
145	2.818441072
146	2.807739375
147	2.798860458
148	2.790610654
149	2.782501479
150	2.773750218
151	2.763898658
152	2.75503816
153	2.737981299
154	2.722374456
155	2.712321717
156	2.703399357
157	2.687163195
158	2.67797823
159	2.668353867
160	2.655109037
161	2.648760412
162	2.640848949
163	2.62989189
164	2.621452786
165	2.612522887
166	2.60176837
167	2.59234642
168	2.581818928
169	2.573774256
170	2.565563331
171	2.5588365
172	2.548008025
173	2.5327805
174	2.526484827
175	2.520475384
176	2.512983636
177	2.503773622
178	2.494925119
179	2.4882202
180	2.479630585
181	2.47226154
182	2.458685267
183	2.448336673
184	2.435727612
185	2.426551788
186	2.417027371
187	2.407229606
188	2.39817889
189	2.392092152
190	2.386142157
191	2.375251714
192	2.367679307
193	2.363867772
194	2.36079089
195	2.348868758
196	2.34457726
197	2.33951424
198	2.323248654
199	2.316801991
200	2.310806413
201	2.306083089
202	2.299168117
203	2.292473772
204	2.289114308
205	2.282761499
206	2.277407895
207	2.271108908
208	2.259981212
209	2.255256006
210	2.245581985
211	2.242108667
212	2.235483014
213	2.229835474
214	2.224666464
215	2.218212841
216	2.204204165
217	2.196985519
218	2.193601423
219	2.184589757
220	2.17614925
221	2.169113533
222	2.163805392
223	2.160732479
224	2.153653577
225	2.146514131
226	2.140477271
227	2.134704423
228	2.128928798
229	2.123120772
230	2.116333347
231	2.113100168
232	2.109551072
233	2.102868909
234	2.100634587
235	2.098075191
236	2.09154926
237	2.086613427
238	2.084099185
239	2.075938932
240	2.072957516
241	2.06896347
242	2.062997486
243	2.058460025
244	2.054500171
245	2.050441608
246	2.044136407
247	2.040599234
248	2.034234704
249	2.030025134
250	2.02411769
251	2.022053378
252	2.018667578
253	2.014261313
254	2.001737158
255	1.997828048
256	1.993033425
257	1.986758633
258	1.980707365
259	1.978666501
260	1.973617056
261	1.96677556
262	1.964758904
263	1.96155486
264	1.957391088
265	1.953762412
266	1.947994133
